station_name;latitude;longitude
OBS17;36.7;-31.401
OBS19;38.0;-30.0
UP01;36.784;-18.384
UP02;38.017;-18.383
UP03;37.7;-19.998
UP04;36.386;-19.994
UP05;36.001;-21.997
UP06;35.883;-24.001
UP07;37.701;-23.999
UP08;37.7;-22.0
UP09;38.999;-23.498
UP10;39.501;-22.0
UP11;40.5;-23.0
UP12;40.5;-25.0
UP13;39.285;-24.999
UP15;39.75;-27.75
UP16;39.977;-30.43
UP17;38.782;-31.0
UP18;39.283;-31.999
UP19;38.0;-32.782
UP20;36.999;-29.999
UP21;35.499;-19.0
UP22;36.284;-28.501
UP23;32.999;-21.7
UP24;36.997;-27.002
UP25;35.884;-26.0
UP26;34.5;-26.0
UP27;34.498;-24.501
UP28;34.501;-23.001
UP29;34.5;-21.0
UP30;32.999;-20.71
UP31;31.7;-23.001
UP32;33.001;-22.999
UP33;31.699;-21.3
UP34;30.7;-20.0
UP35;30.701;-18.302
UP36;30.699;-16.501
UP37;31.299;-14.301
UP38;32.383;-14.501
UP39;31.7;-16.001
UP40;31.7;-17.498
UP41;31.7;-19.501
UP42;33.001;-19.301
UP43;34.5;-19.0
UP44;34.099;-17.499
UP45;34.1;-16.0
UP46;33.667;-14.749
X25;40.591;-26.877
OBS12;40.0;-28.5
CMLA;37.7637;-25.5243
ADH;38.659168;-27.22417
BART;37.777168;-25.16883
CALA;38.581329;-28.701999
HOR;38.529999;-28.629999
PDA;37.74667;-25.66333
PGRA;39.029331;-27.98133
PICO;38.500832;-28.4255
PMAR;32.723671;-16.913669
PMOZ;32.823002;-17.19717
PMPST;33.078831;-16.33333
PSMN;37.002998;-25.06533
ROSA;38.720829;-28.246999
SRBC;39.036671;-28.04083
CADE;28.1607;-16.7427
CARI;28.1867;-16.505
CBLA;29.033867;-13.703316
CBRE;28.627437;-17.791452
CCAL;27.712828;-18.147203
CENR;28.62581;-17.84609
CFUE;28.6468;-13.9359
CLUM;27.818081;-15.650344
CPUN;28.734821;-17.755571
CTIG;27.7882;-17.9221
CTIM;28.998548;-13.749863
EBAJ;28.5399;-16.3434
EGOM;28.1594;-17.2096
EOSO;28.0718;-15.5525
MD31;32.867000579833984;-4.758999824523926
AKL;34.608001708984375;-3.9800000190734863
CGR;30.631999969482422;-9.881999969482422
CHF;35.106998443603516;-5.340000152587891
CZD;33.03300094604492;-5.043000221252441
EAH;31.649999618530273;-9.59000015258789
FIG;32.132999420166016;-1.2619999647140503
GOG;35.220001220703125;-3.0
GOL;31.597000122070312;-4.956999778747559
JBK;34.28099822998047;-2.696000099182129
LAY;27.129199981689453;-13.13860034942627
LCR;33.5620002746582;-4.921999931335449
MDT;32.81399917602539;-4.60699987411499
OUZ;30.80299949645996;-6.931000232696533
PAL;35.224998474121094;-3.941999912261963
RSA;34.87699890136719;-5.828000068664551
SCH;34.104000091552734;-5.316999912261963
SMR;35.667999267578125;-5.422999858856201
TAN;28.400999069213867;-11.196000099182129
TFR;29.610000610351562;-8.946000099182129
TFT;34.810001373291016;-2.4100000858306885
TIS;31.892000198364258;-6.553999900817871
TTG;30.547000885009766;-8.440999984741211
TZR;30.78499984741211;-5.568999767303467
ZGR;30.118999481201172;-5.619999885559082
ZHG;33.31999969482422;-6.749000072479248
